Time,DeviceAddress,GatewayNode,FrequencyHz,SF,BW,RSSI,SNR,Distance,Jammer
1619.2,6c0007de,203,868.1,12,125000,-136.073,-19.0421,6116.7,0
1626.68,6c0007a4,200,868.1,12,125000,-135.405,-18.3744,5871.64,0
1646.06,6c00079b,202,868.3,9,125000,-127.123,-10.0926,3535.87,0
1661.42,6c0007f4,201,868.5,8,125000,-124.825,-7.79443,3071.68,0
1680.56,6c0007fe,201,868.5,9,125000,-128.23,-11.1994,3783.85,0
1680.56,6c0007fe,202,868.5,9,125000,-129.203,-12.1717,4016,0
1692.66,6c00080a,203,868.3,9,125000,-128.11,-11.0789,3756.02,0
1726.95,6c0007ee,201,868.5,9,125000,-127.983,-10.9522,3727,0
1728.93,6c000801,203,868.3,7,125000,-123.651,-6.61968,2858.46,0
1775.1,6c000765,202,868.5,7,125000,-113.594,3.43707,1544.06,0
1778.96,6c00074d,200,868.3,11,125000,-133.489,-16.4581,5221.47,0
1782.74,6c000771,202,868.1,8,125000,-126.87,-9.8388,3481.35,0
1786.9,6c000787,203,868.3,10,125000,-130.171,-13.1398,4261.27,0
1805.51,6c00077d,202,868.1,7,125000,-105.747,11.2843,954.911,0
1813.28,6c0007d3,201,868.1,7,125000,-116.572,0.458575,1853.02,0
1832.67,6c0007d5,202,868.5,7,125000,-123.919,-6.88786,2905.8,0
1839.06,6c000759,203,868.3,7,125000,-115.561,1.46941,1741.79,0
1850.37,6c000791,200,868.1,7,125000,-114.665,2.36563,1648.78,0
1850.37,6c000791,203,868.1,7,125000,-121.402,-4.37098,2490.73,0
1853.89,6c000806,202,868.3,12,125000,-135.01,-17.9793,5731.27,0
1885.6,6c000774,200,868.5,10,125000,-131.88,-14.8496,4731.65,0
1898.19,6c000754,203,868.1,7,125000,-110.587,6.44424,1284.36,0
1915.18,6c0007b9,203,868.3,7,125000,-105.009,12.0224,912.711,0
1915.18,6c0007b9,200,868.3,7,125000,-121.672,-4.64131,2532.31,0
1921.31,6c0007af,202,868.3,10,125000,-131.892,8.48457,4735.09,0
1922.33,6c000793,203,868.3,11,125000,-133.941,20.1861,5368.11,0
1922.33,6c000793,201,868.3,11,125000,-134.435,17.3167,5532.87,0
1922.33,6c000793,200,868.3,11,125000,-137.446,17.687,6653.39,0
1932.01,6c0007eb,202,868.5,11,125000,-134.368,-17.3372,5510.27,0
1934.81,6c0007e9,203,868.3,7,125000,-108.054,8.97726,1099.82,0
1934.81,6c0007e9,200,868.3,7,125000,-118.718,-1.68752,2113.28,0
1951.68,6c0007e0,203,868.3,10,125000,-131.787,-14.7556,4704.51,0
1961.44,6c0007b0,202,868.3,7,125000,-117.508,-0.476975,1962.29,0
2026.46,6c000808,201,868.3,7,125000,-113.579,3.45198,1542.66,0
2047.36,6c00079f,203,868.3,11,125000,-133.553,-16.5219,5241.9,0
2114.6,6c000789,202,868.5,10,125000,-130.246,-13.2155,4281.07,0
2132.76,6c0007e5,203,868.3,7,125000,-123.8,-6.76925,2884.76,0
2134.99,6c0007cd,202,868.5,8,125000,-126.791,-9.76037,3464.67,0
2171.43,6c000776,203,868.3,7,125000,-118.994,-1.96268,2149.2,0
2187.72,6c0007ed,202,868.1,7,125000,-118.825,-1.79406,2127.12,0
2219.2,6c000769,200,868.3,7,125000,-115.573,1.4578,1743.03,0
2223.99,6c0007e4,203,868.3,9,125000,-127.734,-10.7026,3670.47,0
2241.69,6c0007b8,202,868.1,12,125000,-135.905,19.529,6053.95,0
2272.36,6c000797,202,868.5,11,125000,-133.964,-16.9333,5375.66,0
2297.1,6c0007fb,201,868.1,11,125000,-133.302,-16.2713,5162.08,0
2306.47,6c0007a3,201,868.5,12,125000,-135.847,-18.8157,6032.45,0
2309.97,6c000785,201,868.3,9,125000,-129.518,-12.4872,4094.34,0
2323.91,6c0007dd,203,868.3,7,125000,-122.144,-5.11336,2606.58,0
2352.67,6c0007f3,202,868.5,8,125000,-125.513,-8.4826,3203.89,0
2362.83,6c0007c4,200,868.3,7,125000,-121.289,-4.2581,2473.57,0
2363.16,6c0007f0,201,868.3,9,125000,-128.299,-11.268,3799.78,0
2372.48,6c00074c,203,868.3,9,125000,-128.834,-11.8036,3926.47,0
2373.66,6c00078a,200,868.1,9,125000,-127.205,-10.1746,3553.67,0
2399.42,6c00076e,200,868.5,7,125000,-96.589,20.4419,545.018,0
2401.22,6c00079d,202,868.3,9,125000,-128.173,-11.1419,3770.55,0
2476.07,6c000755,200,868.1,10,125000,-131.75,-14.719,4693.96,0
2484.39,6c0007a0,201,868.1,7,125000,-116.1,0.930559,1800.23,0
2491.32,6c000777,202,868.3,12,125000,-135.182,-18.1515,5792.01,0
2491.32,6c000777,201,868.3,12,125000,-136.111,-19.0805,6131.08,0
2506.91,6c00076c,203,868.1,7,125000,-118.861,-1.83007,2131.81,0
2519.48,6c0007db,203,868.5,7,125000,-120.829,-3.79785,2404.83,0
2545.33,6c00078d,203,868.5,10,125000,-131.641,-14.6104,4662.85,0
2545.33,6c00078d,200,868.5,10,125000,-131.83,-14.7994,4717.13,0
2552.51,6c00075d,201,868.1,8,125000,-126.229,-9.19779,3347.33,0
2558.81,6c000764,201,868.3,8,125000,-125.379,-8.34774,3177.54,0
2586.81,6c0007c6,202,868.1,11,125000,-133.847,-16.8163,5337.27,0
2607.32,6c00075f,201,868.5,7,125000,-99.7092,17.3217,659.773,0
2616.06,6c000770,201,868.1,7,125000,-122.72,-5.68866,2700.05,0
2652.14,6c0007cc,201,868.1,7,125000,-115.329,1.70155,1717.21,0
2661.44,6c000750,203,868.5,8,125000,-125.376,-8.34462,3176.94,0
2693.02,6c00074a,201,868.1,8,125000,-124.32,-7.28908,2978.07,0
2702.95,6c000748,203,868.1,7,125000,-119.604,-2.57289,2231.03,0
2712.01,6c000758,200,868.1,7,125000,-82.023,35.0079,223.366,0
2719.21,6c000802,201,868.1,7,125000,-120.648,-3.61727,2378.38,0
2720.07,6c00079a,203,868.1,11,125000,-133.294,-16.2627,5159.36,0
2722.62,6c0007a8,202,868.1,12,125000,-136.392,-19.3609,6237.27,0
2728.21,6c000800,203,868.3,7,125000,-115.993,1.03824,1788.4,0
2744.23,6c000757,203,868.3,10,125000,-130.189,-13.1583,4266.1,0
2744.23,6c000757,201,868.3,10,125000,-130.878,-13.8471,4449.91,0
2749.73,6c0007d9,202,868.1,9,125000,-128.574,-11.5431,3864.33,0
2761.91,6c0007bc,203,868.3,7,125000,-112.967,4.06343,1485.96,0
2767.09,6c0007e8,200,868.5,12,125000,-136.583,-19.5523,6310.8,0
2770.15,6c0007b6,203,868.3,7,125000,-121.914,-4.88288,2570.05,0
2787.05,6c00076a,202,868.1,7,125000,-123.196,-6.16517,2780,0
2808.06,6c0007d0,200,868.1,9,125000,-127.052,-10.0211,3520.43,0
2835.3,6c0007c8,202,868.3,7,125000,-98.6078,18.4231,616.737,0
2847.13,6c0007bb,201,868.3,9,125000,-128.758,-11.7272,3908.13,0
2855.94,6c0007f1,203,868.1,8,125000,-126.852,-9.821,3477.55,0
2874.11,6c000792,203,868.5,10,125000,-130.097,-13.0666,4242.21,0
2877.01,6c000804,202,868.5,7,125000,-118.345,-1.31454,2065.56,0
2885.02,6c000798,200,868.3,7,125000,-120.953,-3.92212,2423.2,0
2907.94,6c00074e,200,868.3,11,125000,-133.788,-16.7571,5317.97,0
2933.79,6c0007df,200,868.1,9,125000,-128.964,-11.9327,3957.63,0
2939.74,6c0007bd,202,868.1,8,125000,-126.783,-9.75225,3462.94,0
2948.32,6c00077e,203,868.3,7,125000,-121.425,-4.39374,2494.2,0
2994.07,6c0007ff,201,868.3,11,125000,-134.508,-17.4769,5557.62,0
3012.62,6c00076f,201,868.5,8,125000,-125.524,-8.49294,3205.92,0
3013.95,6c0007c1,200,868.3,7,125000,-110.841,6.1899,1304.52,0
3013.95,6c0007c1,203,868.3,7,125000,-118.184,-1.15309,2045.24,0
3022.68,6c0007ac,202,868.5,7,125000,-114.697,2.334,1651.97,0
3044.1,6c0007a9,200,868.5,8,125000,-124.845,-7.81381,3075.33,0
3065.41,6c00078f,202,868.5,11,125000,-133.177,-16.1456,5122.5,0
3068.92,6c0007ea,201,868.1,8,125000,-126.732,-9.7006,3452.01,0
3128.49,6c000799,200,868.3,9,125000,-129.486,-12.4546,4086.18,0
3158.85,6c0007c3,201,868.3,7,125000,-123.317,-6.28573,2800.6,0
3171.77,6c00080b,200,868.3,8,125000,-125.51,-8.47938,3203.26,0
3171.93,6c0007d8,201,868.1,7,125000,-122.246,-5.21545,2622.93,0
3185.76,6c0007e7,203,868.1,7,125000,-115.324,1.70701,1716.63,0
3185.76,6c0007e7,200,868.1,7,125000,-117.614,-0.582944,1975.06,0
3199.86,6c0007fd,201,868.1,7,125000,-116.549,0.48177,1850.39,0
3208.49,6c000780,201,868.3,7,125000,-118.353,-1.32228,2066.54,0
3218.76,6c000803,203,868.1,7,125000,-120.264,-3.2331,2323.08,0
3225.57,6c0007c0,202,868.1,7,125000,-102.442,14.5892,779.949,0
3225.69,6c000809,203,868.1,9,125000,-127.588,-10.5575,3638,0
3226.31,6c0007dc,200,868.1,8,125000,-124.437,-7.40566,2999.41,0
3272.62,6c0007b7,201,868.1,7,125000,-123.962,-6.93154,2913.58,0
3285.53,6c000790,202,868.3,7,125000,-117.033,-0.00173442,1906,0
3289.33,6c0007b3,201,868.5,8,125000,-125.934,-8.90353,3287.56,0
3291.41,6c000768,202,868.3,12,125000,-136.079,-19.0479,6118.85,0
3305.83,6c00078b,203,868.3,10,125000,-131.399,-14.3678,4594.09,0
3324.71,6c00079e,202,868.3,9,125000,-129.447,-12.4166,4076.66,0
3327.33,6c0007aa,200,868.5,8,125000,-125.988,-8.95683,3298.3,0
3339.33,6c0007f8,201,868.5,7,125000,-117.095,-0.0638557,1913.27,0
3356.8,6c000779,200,868.3,7,125000,-117.882,-0.851055,2007.76,0
3397.54,6c0007d6,200,868.5,7,125000,-123.964,-6.93283,2913.81,0
3406.03,6c000766,201,868.1,8,125000,-125.857,-8.82642,3272.07,0
3432.26,6c00077f,202,868.3,9,125000,-127.428,-10.3967,3602.34,0
3486.72,6c00077b,200,868.1,10,125000,-131.682,-14.651,4674.46,0
3497.68,6c00080c,201,868.1,8,125000,-125.592,-8.56081,3219.28,0
3506.5,6c0007ef,203,868.5,8,125000,-124.513,-7.48182,3013.43,0
3506.5,6c0007ef,201,868.5,8,125000,-124.86,-7.8289,3078.17,0
3536.69,6c0007bf,201,868.5,11,125000,-134.034,-17.0031,5398.67,0
3560.71,6c000772,200,868.5,12,125000,-136.512,-19.4809,6283.27,0
3589.97,6c0007e2,202,868.5,10,125000,-131.048,-14.0168,4496.41,0
3589.97,6c0007e2,201,868.5,10,125000,-131.795,-14.7639,4706.9,0
3608.09,6c0007a1,202,868.5,7,125000,-115.311,1.72039,1715.23,0
3616.61,6c00080f,202,868.3,8,125000,-124.903,-7.87259,3086.42,0
3623.3,6c0007fa,203,868.1,11,125000,-133.572,-16.5408,5247.96,0
3648.67,6c000773,203,868.5,9,125000,-127.846,-10.8151,3695.83,0
3671.48,6c0007f9,200,868.3,7,125000,-108.752,8.27876,1147.88,0
3671.48,6c0007f9,203,868.3,7,125000,-119.7,-2.66954,2244.27,0
3674.93,6c0007e6,202,868.1,12,125000,-135.086,-18.0551,5757.93,0
3711.5,6c00075a,203,868.5,9,125000,-127.95,-10.9195,3719.53,0
3733.49,6c00075c,202,868.5,7,125000,-119.272,-2.24155,2186.22,0
3736.66,6c000782,200,868.3,11,125000,-133.934,-16.9027,5365.57,0
3742.38,6c0007ce,203,868.3,7,125000,-115.835,1.19601,1771.2,0
3748.49,6c00077a,200,868.1,12,125000,-135.645,-18.614,5958.4,0
3761.96,6c0007ba,202,868.5,8,125000,-126.641,-9.61017,3432.94,0
3817.86,6c00078e,200,868.1,7,125000,-91.7944,25.2365,406.343,0
3817.86,6c00078e,203,868.1,7,125000,-123.498,-6.46686,2831.84,0
3830.62,6c000778,200,868.3,12,125000,-135.41,-18.3791,5873.32,0
3872.63,6c0007d4,203,868.1,7,125000,-119.985,-2.95458,2283.79,0
3889.28,6c000783,201,868.3,7,125000,-118.467,-1.436,2080.98,0
3920.84,6c0007ae,201,868.3,10,125000,-130.255,-13.2243,4283.37,0
3936.8,6c0007a2,203,868.5,7,125000,-109.635,7.39567,1211.67,0
3953.87,6c0007a6,201,868.5,9,125000,-128.822,-11.7915,3923.55,0
3960.3,6c0007b4,201,868.3,7,125000,-112.04,4.99086,1403.92,0
3967.52,6c000767,202,868.1,9,125000,-129.12,-12.0895,3995.82,0
3970.47,6c0007cb,202,868.1,7,125000,-118.838,-1.80677,2128.77,0
3971.96,6c0007d1,200,868.3,12,125000,-136.148,-19.1176,6145.02,0
3983.93,6c00076d,201,868.5,7,125000,-95.2058,21.8251,500.751,0
4007.36,6c0007c7,202,868.5,7,125000,-121.402,-4.37078,2490.7,0
4019.2,6c0007de,203,868.5,12,125000,-136.073,-19.0421,6116.7,0
